token_index,original_surface,normalized_surface,proclitics,host_surface,enclitics,word_class,word_class_subclass,word_class_verdict,inflection_skipped_reason,root_state,canonical_root,root_candidates,cra_form_family,cra_suffix_stripped,cra_reason_codes,phase4a_residuals,wazn,masdar,derivative_type,number,gender,person,tense_aspect,mood,voice,ambiguity_candidates_json,h11_h15_reached,h11_h15_filled_slots,typed_slot_count,filled_slot_count,unknown_slot_count,not_opened_layers,active_residuals,overall_verdict,has_unresolved_claims,licensed_claims,deferred_claims,taaqol_effective_verdict,taaqol_failure_code,taaqol_reason_codes,claim_key,evaluation_id,pipeline_verdict,error
1,يَا,يَا,,يَا,,HARF,CLOSED_FUNCTION_WORD,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,UNKNOWN,,,,,,,,,,,,,,,,[],False,,23,5,13,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,DEFERRED,,GATE_REQUIRED,d10ca5e6156927076b6ce94edb23026ead0a9846bf04167fbba5fb4bea0af5cb,200e3e42cdbc2dc0,ACCEPT,
2,أَيُّهَا,ءَيْيُهَا,,أَيُّهَا,,HARF,CLOSED_FUNCTION_WORD,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,UNKNOWN,,,,,,,,,,,,,,,,[],False,,23,5,13,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,DEFERRED,,GATE_REQUIRED,09c4f175e0e657f2df2ea51285bb9e4ad10f6965de0070052fe8df7767999b35,635ba034cce7e107,ACCEPT,
3,الَّذِينَ,ءَلْلَذِينَ,,الَّذِينَ,,ISM,RELATIVE,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,UNKNOWN,,,,,,,,,,,,,,,,[],False,,23,5,13,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,DEFERRED,,GATE_REQUIRED,d4baa4e5f1a8a7dbcfaff569cb313cc7a2e517edcf2eeeb4bd080d5edd53c191,d7ef7c3887cc4274,ACCEPT,
4,آمَنُوا,ءَامَنُوا,,ءَمَنُوا,,FI3L,VERBAL_PAST,WORD_CLASS_ACCEPTED,,KNOWN,ءمن,,FORM_IV,وا,AUGMENTED_ROOT_ACCEPTED,,FA3ALA,مُفَاعَلَة,,PL,M,3,PAST,NOT_APPLICABLE,ACTIVE,[],True,NUMBER_SLOT GENDER_SLOT,23,11,6,BAB; MASDAR; DERIVATIVE; PARADIGM,transitivity_unknown; root_class_unknown,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT RADICAL_R1 RADICAL_R2 RADICAL_R3 PATTERN_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT,BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,LICENSED,,,07eac8326244a221184963c830d8800ba84b1ddeca906df37dd6a83753cbefa6,0f49518384d5ad96,ACCEPT,
5,إِذَا,ءِذَا,,إِذَا,,HARF,CLOSED_FUNCTION_WORD,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,UNKNOWN,,,,,,,,,,,,,,,,[],False,,23,5,13,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,DEFERRED,,GATE_REQUIRED,8f3382051a4500e0260ca23a1ee1bd134606c2992baf1b3f76055e233a069f7d,eb1f41bf093d37a3,ACCEPT,
6,تَدَايَنْتُمْ,تَدَايَنْتُمْ,,تَدَايَنْتُمْ,,FI3L,VERBAL_PAST,WORD_CLASS_ACCEPTED,,DEFERRED,,,FORM_VI,تُمْ,WEAK_RADICAL_IN_AUGMENTED_ROOT:DEFER,defer:root:non_standard_consonant_count; defer:root:augmented_form_beyond_scope; defer:wazn:no_hypothesis_built,تَفَاعَلَ,,,PL,M,2,PAST,NOT_APPLICABLE,ACTIVE,[],True,NUMBER_SLOT GENDER_SLOT,23,7,11,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; PARADIGM,defer:root:non_standard_consonant_count; defer:root:augmented_form_beyond_scope; defer:wazn:no_hypothesis_built,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT NUMBER_SLOT GENDER_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,LICENSED,,,b98faa721beae20aa0545a00097fcfdd26560fedb11a027af4593b10fbec8100,354e6672fe4eb76d,ACCEPT,
7,بِدَيْنٍ,بِدَيْنٍ,بِ,دَيْنٍ,,ISM,LEXICAL_NOUN,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,KNOWN,دين,,FORM_I,,TRILATERAL_ROOT_ACCEPTED,,FA3L,,,,,,,,,[],False,,23,10,8,BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,defer:bab:nominal_morphology_path; non_verbal_wazn,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE PROCLITIC_SLOTS SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT RADICAL_R1 RADICAL_R2 RADICAL_R3 PATTERN_CANDIDATE_SET,BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,LICENSED,,,f27c6e112799edd45d813d1893eea62540e67959f39f342e74dba6cc71566837,55e91e9c8f6f25a4,ACCEPT,
8,إِلَى,ءِلَى,,إِلَى,,HARF,CLOSED_FUNCTION_WORD,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,UNKNOWN,,,,,,,,,,,,,,,,[],False,,23,5,13,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,DEFERRED,,GATE_REQUIRED,5a52c777433de4bb0e45dfa39a906658f8e587c0523bd08960b048e20db90362,f641b545e1a76993,ACCEPT,
9,أَجَلٍ,ءَجَلٍ,,أَجَلٍ,,ISM,LEXICAL_NOUN,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,KNOWN,ءجل,,FORM_I,,TRILATERAL_ROOT_ACCEPTED,,FA_A_LA,,,,,,,,,[],False,,23,9,8,BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,defer:bab:nominal_morphology_path; sami3i_required; transitivity_unknown; root_class_unknown,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT RADICAL_R1 RADICAL_R2 RADICAL_R3 PATTERN_CANDIDATE_SET,BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,LICENSED,,,2814910a429b5b88e5e307917435074a5e180c6ceef0adc7e89ad58bf7fc1b1e,6c84a074d731a9df,ACCEPT,
10,مُسَمًّى,مُسَمْمًى,,مُسَمًّى,,ISM,LEXICAL_NOUN,WORD_CLASS_ACCEPTED,WORD_CLASS_ACCEPTED,DEFERRED,,,,,defer:root:non_standard_consonant_count,defer:root:non_standard_consonant_count; residual:mim:root_extraction_failed; defer:relicensing:proposed_root_extraction_incomplete; defer:root:augmented_form_beyond_scope; defer:wazn:relicensing_did_not_accept,,,,,,,,,,[],False,,23,5,13,RADICAL; PATTERN; BAB; MASDAR; DERIVATIVE; MORPHOSYNTAX; PARADIGM,defer:root:non_standard_consonant_count; residual:mim:root_extraction_failed; defer:relicensing:proposed_root_extraction_incomplete; defer:root:augmented_form_beyond_scope; defer:wazn:relicensing_did_not_accept,COMPOSITE,True,ORIGINAL_SURFACE NORMALIZED_SURFACE SEGMENT_HOST PATH_DIRECTIVE_SLOT WORD_CLASS_SLOT,RADICAL_R1 RADICAL_R2 RADICAL_R3 RADICAL_R4 PATTERN_CANDIDATE_SET BAB_CANDIDATE_SET MASDAR_CANDIDATE_SET DERIVATIVE_CANDIDATE_SET NUMBER_SLOT GENDER_SLOT DEFINITENESS_SLOT LEMMA_SLOT PARADIGM_SLOT,LICENSED,,,60706798afbe958bc816eecf237e187d939f8e8d642b152c2e9cdfd3570b597d,3f20cb210b88edaa,ACCEPT,
